Survey Name,DS_0494431_00-07-30-026-17W4-0.csv,,,,,,,,
Final Survey,Y,,,,,,,,
Well Licensee,Mainland Oil,,,,,,,,
Survey Company,Maine Drilling,,,,,,,,
Licence Number,494431,,,,,,,,
Well Name,N40 Hz Messford 7-30-26-17W4,,,,,,,,
Slanted Drilling,Y or N,,,,,,,,
DLS Surface Hole Location,07-29-026-17W4,,,,,,,,
NAD 83 Surface Lat,51.247014,,,,,,,,
NAD 83 Surface Long,-112.365038,,,,,,,,
Ground Level Elevation,870.22,,,,,,,,
Kelly Bushing Elevation,874.62,,,,,,,,
UWI (D59:at the time of submission),00/07-30-026-17W4/00,,,,,,,,
Final Survey Date (YYYY-MM-DD),2021-10-06,,,,,,,,
North Reference,TRUE,,,,,,,,
Universal Transverse Mercator Zone,11N or 12N,,,,,,,,
Survey Calculation Method,Minimum Curvature,,,,,,,,
Units of Measurement,Meters & Degrees,,,,,,,,
Convergence Angle,0.33,,,,,,,,
Magnetic Model,HDGM_FILE,,,,,,,,
Magnetic Model Date (YYYY-MM-DD),2019-04-01,,,,,,,,
Vertical Section Azimuth,273.95,,,,,,,,
Declination,13.11,,,,,,,,
,,,,,,,,,
MD,Inclination,Azimuth,True Vertical Depth (TVD),TVDSS,Vert Sect,N+/S-,E+/W-,Survey Tool,Annotations
[m],[°] or deg,[°] or deg,[m],[m],[m],[m],[m],Type,
2534.42,84.95,292.86,2382.27,-1542.35,2382.27,98.02,-247.89,MWD+HDGM (2),    
2544.1,87.2,293,2382.93,-1543.01,2382.93,102.15,-256.61,MWD+HDGM (2),ICP shoe = 2544.1 m KB
2553.81,88.98,294.62,2383.26,-1543.34,2383.26,106.44,-265.32,MWD+HDGM (2),Heel = 2553.81 m KB
2573.2,89.67,297.04,2383.48,-1543.56,2383.48,115.62,-282.39,MWD+HDGM (2),    
2592.62,89.29,298.8,2383.66,-1543.74,2383.66,125.43,-299.15,MWD+HDGM (2),    
2612.01,89.1,300.69,2383.93,-1544.01,2383.93,135.75,-315.56,MWD+HDGM (2),    
2631.43,90.03,304.29,2384.08,-1544.16,2384.08,146.87,-331.48,MWD+HDGM (2),    
2650.84,91.29,306.84,2383.86,-1543.94,2383.86,158.81,-346.78,MWD+HDGM (2),    
2670.2,92.17,306.66,2383.27,-1543.35,2383.27,171.04,-361.78,MWD+HDGM (2),    
2689.6,91.29,306.4,2382.69,-1542.77,2382.69,183.23,-376.86,MWD+HDGM (2),    
2708.97,91.44,305.61,2382.23,-1542.31,2382.23,195.26,-392.03,MWD+HDGM (2),    
2728.36,89.69,304.82,2382.03,-1542.11,2382.03,207.1,-407.38,MWD+HDGM (2),    
2747.73,89.98,304.33,2382.09,-1542.17,2382.09,218.76,-422.85,MWD+HDGM (2),    
2767.11,90.02,304.47,2382.09,-1542.17,2382.09,230.38,-438.36,MWD+HDGM (2),    
2786.48,90.04,306.22,2382.08,-1542.16,2382.08,242.24,-453.67,MWD+HDGM (2),    
2791,90.21,306.29,2382.07,-1542.15,2382.07,245.07,-457.2,MWD+HDGM (2),
2805.88,90.78,306.53,2381.94,-1542.02,2381.94,254.4,-468.79,MWD+HDGM (2),    
